timestamp,simple-path,time
"2022-06-01 23:56:54.821","/master/welcome",10229
"2022-06-01 23:56:55.412","/master/welcome",530
"2022-06-01 23:56:59.842","/master/sign-in",3774
"2022-06-01 23:57:01.117","/master/welcome",562
"2022-06-01 23:57:03.657","/inventor/chimpum/list",2152
"2022-06-01 23:57:08.67","/inventor/chimpum/show",4764
"2022-06-01 23:57:09.974","/inventor/chimpum/update",1089
"2022-06-01 23:57:10.518","/master/welcome",498
"2022-06-01 23:57:11.147","/master/welcome",558
"2022-06-01 23:57:16.062","/master/welcome",1557
"2022-06-01 23:57:16.824","/master/welcome",588
"2022-06-01 23:57:17.622","/master/sign-in",554
"2022-06-01 23:57:18.861","/master/welcome",556
"2022-06-01 23:57:19.589","/inventor/chimpum/list",575
"2022-06-01 23:57:20.426","/inventor/chimpum/show",573
"2022-06-01 23:57:21.198","/inventor/chimpum/update",556
"2022-06-01 23:57:21.709","/master/welcome",466
"2022-06-01 23:57:22.33","/master/welcome",556
"2022-06-01 23:57:24.857","/master/welcome",434
"2022-06-01 23:57:25.218","/master/welcome",330
"2022-06-01 23:57:25.835","/master/sign-in",557
"2022-06-01 23:57:27.076","/master/welcome",556
"2022-06-01 23:57:27.854","/inventor/chimpum/list",559
"2022-06-01 23:57:28.709","/inventor/chimpum/show",579
"2022-06-01 23:57:30.941","/inventor/chimpum/list",612
"2022-06-01 23:57:33.688","/inventor/chimpum/list",555
"2022-06-01 23:57:35.164","/inventor/chimpum/show",583
"2022-06-01 23:57:35.984","/master/welcome",374
"2022-06-01 23:57:36.61","/master/welcome",561
